Site Name	Owner	Company CEO	CEO Annual Pay	Company Net Profit	Company Reported MT of Salmon harvested in a year	Latitude	Longitude	Farm Type	Type of Salmon Grown	Brand Names Sold Under	Date Registered	National Grid Reference	Nation	Region or Province	Local Authority	Location	Farm Site Licensed 2017-2020?	Feed Discharged Per Year In Metric Tons (MT)	Reported Green House Gas (GHG) C02 MT emissions from feed discharged per annum	Salmon Grown Per Year	Approx. effluent rate based on stocking size	Algae Blooms	# Salmon Mortalities 2012-2020	Locally Reported Impact on Wildlife and Area	Lifetime Reported Escapes 1998-2020	Infectious Salmon Anaemia Virus Outbreak 2012-2020 (ISAv)	Piscine Reovirus Outbreak (PRV)	Infectious Pancreatic Necrosis Virus Confirmed 2012-2020 (IPNv)	Sealice Outbreaks	Sealice Treatments	Florfenicol Treatments	Reported SLICE®, emamectin benzoate (EMB)Treatments
Salmon Farm Material Dump Site #1-BC	N/A	TBD	TBD	TBD	TBD	50.532773	-126.224991	N/A	TBD	TBD	N/A	N/A	Canada	British Columbia	S.W. Whitebeach Pointe	Eastern Side-Vancouver Island-BC	Y	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Unidentified Farm Site #2-BC	N/A	TBD	TBD	TBD	TBD	50.560703	-126.270545	Sea Farm	TBD	TBD	N/A	N/A	Canada	British Columbia	Range Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Unidentified Farm Site #3-BC	N/A	TBD	TBD	TBD	TBD	50.392964	-125.362091	Sea Farm	TBD	TBD	N/A	N/A	Canada	British Columbia	S. central side of E. Thurlow Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Northern. Divine Aquafarms (Gray Creek)	Northern Divine Aquafarms Ltd.	TBD	TBD	TBD	TBD	49.537129	-123.761809	Freshwater Hatchery	Coho Salmon Eggs	TBD	N/A	N/A	Canada	British Columbia	Tillicum Bay	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Jane Bay	Omega Pacific Seafarms Inc.	TBD	TBD	TBD	TBD	48.999449	-125.142067	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha), Rainbow Trout (Oncorhynchus mykiss), Sablefish (Anoplopoma fimbria), Pacific Halibut (Hippoglossus stenolepis), Atlantic Salmon (Salmo salar), Sockeye Salmon (Oncorhynchus nerka)	TBD	N/A	N/A	Canada	British Columbia	Barkley Sound	Western Shore-Vancouver Island, BC	Y	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Lena Creek Hatchery	Paradise Trading Corporation	TBD	TBD	TBD	TBD	49.921273	-124.021125	Freshwater Hatchery	Atlantic Salmon (Salmo salar)	TBD	N/A	N/A	Canada	British Columbia	Jervis Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
St. Vincent Bay, Jervis Inlet	Totem Sea Farm Inc.	TBD	TBD	TBD	TBD	49.835489	-124.055334	Sea Farm	Coho Salmon (Oncorhynchus kisutch), Chinook Salmon (Oncorhynchus tshawytscha),  Atlantic Salmon (Salmo salar), Wolf Eel (Anarrhichthys ocellatus)	TBD	N/A	N/A	Canada	British Columbia	Jervis Inlet	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	277	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Lois Lake (4 farms)	West Coast Fishculture	TBD	TBD	TBD	TBD	49.862498	-124.22452	Freshwater Hatchery	Rainbow Trout (Oncorhynchus mykiss)	TBD	N/A	N/A	Canada	British Columbia	Lois Lake	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Lois Lake Hatchery	West Coast Fishculture	TBD	TBD	TBD	TBD	49.86384	-124.229889	Freshwater Hatchery	Rainbow Trout (Oncorhynchus mykiss)	Blundell Seafoods	N/A	N/A	Canada	British Columbia	Lois Lake	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Yellow Island Aquaculture Farm	Yellow Island Aquaculture	TBD	TBD	TBD	TBD	50.13355	-125.333202	Sea Farm	 local, native Pacific salmon species (Chinook, King, spring salmon)	YIAL	N/A	N/A	Canada	British Columbia	Discovery Passage	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
Yellow Island Hatchery	Yellow Island Aquaculture	TBD	TBD	TBD	TBD	50.133004	-125.330513	Freshwater Hatchery	 local, native Pacific salmon species (Chinook, King, spring salmon)	YIAL	N/A	N/A	Canada	British Columbia	Discovery Passage, Quadra Island	Eastern Side-Vancouver Island-BC	Y	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon	Info coming soon
MF-0033	 T&J Aquaculture Ltd.	TBD	TBD	TBD	TBD	45.059193	-66.85124	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	The Narrows	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0050	Arctic Rose Inc.	TBD	TBD	TBD	TBD	44.92894	-66.973737	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Indian Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0270	Benson Aquaculture Ltd.	Morton Benson	TBD	TBD	TBD	44.617376	-66.840646	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Wood Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0503	Benson Aquaculture Ltd.	Morton Benson	TBD	TBD	TBD	44.656854	-66.708847	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Chenney Passage	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
 MF-0282	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.688135	-66.714067	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Nantucket Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
 MF-0413	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.607196	-66.872993	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Buck Rock	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0002	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.720101	-66.724796	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Farmers Ledge	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0003	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.629487	-66.831526	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Wood Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0010	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.073034	-66.733218	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Beaver Harbour	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0012	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.064979	-66.73414	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Beaver Harbour	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0014	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.069105	-66.807848	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Reserve cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0017	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.062588	-66.807032	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Letete Harbour	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0018	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.059985	-66.824327	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Limekiln Bay	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0023	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.048059	-66.82982	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Bar Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0024	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.055605	-66.817675	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Letang Harbour	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0026	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.04132	-66.826065	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Hills Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0029	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.033253	-66.834841	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Bliss Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0032	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.035869	-66.843467	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Man O'War Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0034	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.05645	-66.856476	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	The Narrows	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0035	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.052084	-66.856433	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Letete Harbour	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0037	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.042313	-66.87317	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Letete Harbour	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0038	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.042419	-66.890679	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Kelly's Cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0040	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.0669	-66.914283	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Greens Cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0042	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.028097	-66.942071	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Doyles Passage	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0044	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.999162	-66.910506	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Simpsons Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0045	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.005049	-66.927093	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Boone Cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0046	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.99986	-66.944667	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Lords Cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0049	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.934591	-66.971097	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Indian Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0051	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.935229	-66.982384	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Doctor's Cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0055	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.886479	-66.959467	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Harbour de Lute	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0056	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.874239	-66.976419	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Friars Bay	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0057	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.94334	-66.996267	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Snug Cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0059	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.96477	-67.013214	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Cummings Cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0061	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.129638	-67.026421	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Kilmarnock Harbour	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0168	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.878223	-66.968351	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Friars Bay	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0172	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.667201	-66.720719	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Ross Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0179	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.005936	-66.991777	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Davidson Head	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0213	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.734188	-66.731061	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Long Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0214	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.114679	-67.033888	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Ministers Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0215	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.008341	-66.928574	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Fish Island Harbour	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0228	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.014538	-66.975169	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Davidson Head	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0251	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.026596	-66.97253	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Pendleton Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0256	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.036483	-66.967251	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Pendleton Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0276	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.02925	-66.867076	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Charlie Cove	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0290	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.094688	-67.034639	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Mniters Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0292	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.642298	-66.84056	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Seal Cove Sound	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0298	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.682277	-66.700076	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Great Duck Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0300	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.676174	-66.710505	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Duck Island Sound	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0303	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.646626	-66.796765	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Long Pond Bay	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0316	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.622302	-66.736973	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	White Head Island	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0320	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.993221	-67.008364	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Garnders Point	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0349	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.717814	-66.731061	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Bancroft Point	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0368	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	44.730377	-66.737413	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Dutch Ledge	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0370	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.073371	-66.994084	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Passamaquoddy Bay	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0377	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.032472	-66.998612	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Passamaquoddy Bay	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
MF-0378	Kelly Cove Salmon Ltd. (owned by Cooke Aquaculture)	Glenn Cooke	TBD	$2,400,000,000 (Annual Revenue 2020)	TBD	45.06543	-66.691129	Sea Farm	TBD	TBD	TBD	N/A	Canada	New Brunswick	N/A	Foleys Cove 	TBD	TBD		TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD
